score,portal,title,name,id,modified,license,org,resource_count,formats,url
7,HDX,Oman - Risk Assessment Indicators,oman---risk-assessment-indicators,411616cc-00a8-4902-858f-6d1e414b5e12,2026-03-11T12:49:45.948102,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),8,CSV,https://data.humdata.org/dataset/oman---risk-assessment-indicators
7,HDX,Saint Vincent And The Grenadines - Risk Assessment Indicators,saint-vincent-and-the-grenadines---risk-assessment-indicators,129407e9-b2bf-49b1-9834-b8306c481e08,2026-03-11T12:31:45.781902,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),8,CSV,https://data.humdata.org/dataset/saint-vincent-and-the-grenadines---risk-assessment-indicators
7,HDX,Antigua And Barbuda - Risk Assessment Indicators,antigua-and-barbuda---risk-assessment-indicators,04559078-3ee3-478c-ad55-88adb9be50e2,2026-03-11T12:31:14.225534,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),8,CSV,https://data.humdata.org/dataset/antigua-and-barbuda---risk-assessment-indicators
7,HDX,Austria: Greenhouse Gas and Air Pollutant Emissions,aut-climate-trace,3a352c9d-6a1d-4e44-94f2-a598414a6a8b,2026-03-11T21:01:57.659559,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/aut-climate-trace
7,HDX,Australia: Greenhouse Gas and Air Pollutant Emissions,aus-climate-trace,8e5ec8e9-8ed7-4895-ab75-021e466427de,2026-03-11T21:01:44.613230,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/aus-climate-trace
7,HDX,Armenia: Greenhouse Gas and Air Pollutant Emissions,arm-climate-trace,27a8d993-0604-4b71-a4f8-b7dfcb3151cd,2026-03-11T21:01:21.789297,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/arm-climate-trace
7,HDX,Argentina: Greenhouse Gas and Air Pollutant Emissions,arg-climate-trace,e0df5264-a194-4794-ad06-12e9e38df199,2026-03-11T21:01:08.893219,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/arg-climate-trace
7,HDX,Angola: Greenhouse Gas and Air Pollutant Emissions,ago-climate-trace,a9efea42-b80b-4a71-b546-c231f1f4f051,2026-03-11T21:00:20.396321,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/ago-climate-trace
7,HDX,Algeria: Greenhouse Gas and Air Pollutant Emissions,dza-climate-trace,987a2e76-4e08-48ac-8280-6913e444acc4,2026-03-11T20:59:39.703573,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/dza-climate-trace
7,HDX,Albania: Greenhouse Gas and Air Pollutant Emissions,alb-climate-trace,9da074b0-3e7d-40ba-be00-c536d357542a,2026-03-11T20:59:16.036246,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/alb-climate-trace
7,HDX,Afghanistan: Greenhouse Gas and Air Pollutant Emissions,afg-climate-trace,bc66602d-7c79-4d0c-828f-cf11bc69c4a0,2026-03-11T20:58:54.092413,cc-by,Climate TRACE,7,CSV,https://data.humdata.org/dataset/afg-climate-trace
7,HDX,Kuwait - Risk Assessment Indicators,kuwait---risk-assessment-indicators,23d75aa5-6e77-4a43-ad1e-404170063c3b,2026-03-11T12:49:19.825173,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),7,CSV,https://data.humdata.org/dataset/kuwait---risk-assessment-indicators
7,HDX,United Arab Emirates - Risk Assessment Indicators,united-arab-emirates---risk-assessment-indicators,8907838f-4269-44df-91ca-ff6a17c8842d,2026-03-11T12:49:17.601515,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),7,CSV,https://data.humdata.org/dataset/united-arab-emirates---risk-assessment-indicators
7,HDX,Saint Lucia - Risk Assessment Indicators,saint-lucia---risk-assessment-indicators,20290316-4974-4c8f-a4c4-6b6fcc24afde,2026-03-11T12:31:31.780189,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),7,CSV,https://data.humdata.org/dataset/saint-lucia---risk-assessment-indicators
7,HDX,Trinidad And Tobago - Risk Assessment Indicators,trinidad-and-tobago---risk-assessment-indicators,c4444271-0313-420a-972b-672b16dca5d7,2026-03-11T12:31:30.974864,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),7,CSV,https://data.humdata.org/dataset/trinidad-and-tobago---risk-assessment-indicators
7,HDX,Saint Kitts And Nevis - Risk Assessment Indicators,saint-kitts-and-nevis---risk-assessment-indicators,5ae1f20a-8a69-472a-a6aa-b1ea06b46816,2026-03-11T12:31:14.217315,cc-by-sa,HeiGIT (Heidelberg Institute for Geoinformation Technology),7,CSV,https://data.humdata.org/dataset/saint-kitts-and-nevis---risk-assessment-indicators
7,HDX,Aruba: Greenhouse Gas and Air Pollutant Emissions,abw-climate-trace,424b0b71-a57b-4814-9130-4dd4f0012edd,2026-03-11T21:01:30.531594,cc-by,Climate TRACE,5,CSV,https://data.humdata.org/dataset/abw-climate-trace
7,HDX,Antigua and Barbuda: Greenhouse Gas and Air Pollutant Emissions,atg-climate-trace,96ee09d6-97e5-464a-bf4d-580ec684ac80,2026-03-11T21:00:49.227663,cc-by,Climate TRACE,5,CSV,https://data.humdata.org/dataset/atg-climate-trace
7,HDX,Antarctica: Greenhouse Gas and Air Pollutant Emissions,ata-climate-trace,62b88b70-6103-42c6-a887-84e3e29e8785,2026-03-11T21:00:40.149546,cc-by,Climate TRACE,5,CSV,https://data.humdata.org/dataset/ata-climate-trace
