score,portal,title,name,id,modified,license,org,resource_count,formats,url
7,data.gov,Harmonized Tariff Schedule of the United States (2026),harmonized-tariff-schedule-of-the-united-states-2024,2d0e242c-88f0-43de-b6c5-da9b9d88864f,2026-02-27T14:11:10.524835,us-pd,US International Trade Commission,15,"CSV,JSON,XLS",https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2024
7,data.gov,National Register of Historic Places,national-register-of-historic-places-9d3f5,3fdb5bea-e09e-4ab6-ade8-f4a76b2d3b34,2026-03-04T00:18:38.665227,notspecified,Department of the Interior,6,"API,DOC,JPEG,XML,ZIP",https://catalog.data.gov/dataset/national-register-of-historic-places-9d3f5
7,HDX,Madagascar - Tropical Cyclone Gezani - OpenStreetMap Data,mdg-cyclone-gezani-2026-openstreetmap-data,a9d0792e-9ce0-4dae-bff2-a7d9492743a9,2026-03-05T13:31:18.632433,hdx-odc-odbl,Humanitarian OpenStreetMap Team (HOT),4,"GeoJSON,SHP",https://data.humdata.org/dataset/mdg-cyclone-gezani-2026-openstreetmap-data
7,HDX,Mozambique - Floods - January 2026 - OpenStreetMap Data,moz-floods-january-2026-openstreetmap-data,a5c814cf-a98b-479d-a679-d390e325bf59,2026-03-05T13:27:12.174604,hdx-odc-odbl,Humanitarian OpenStreetMap Team (HOT),4,"GeoJSON,SHP",https://data.humdata.org/dataset/moz-floods-january-2026-openstreetmap-data
7,data.gov,Border Crossing Entry Data,border-crossing-entry-data-683ae,656e0b2d-60f1-49e8-a3a7-073602d441a2,2026-03-05T08:27:23.519048,notspecified,Department of Transportation,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/border-crossing-entry-data-683ae
7,data.gov,Traffic Crashes - Crashes,traffic-crashes-crashes,6558e045-c63c-4b12-9342-c7899688ff66,2026-03-01T02:05:13.518791,notspecified,City of Chicago,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/traffic-crashes-crashes
7,data.gov,Motor Vehicle Collisions - Crashes,motor-vehicle-collisions-crashes,a1cbf6e9-6a08-4288-8b6b-a3c5666b7c2d,2026-03-01T01:57:18.825425,notspecified,City of New York,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/motor-vehicle-collisions-crashes
7,data.gov,Lottery Powerball Winning Numbers: Beginning 2010,lottery-powerball-winning-numbers-beginning-2010,f9880479-bf5c-477c-ba8e-0651a0e054a5,2026-02-28T22:14:34.446869,notspecified,State of New York,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/lottery-powerball-winning-numbers-beginning-2010
7,data.gov,Monthly Rates of Laboratory-Confirmed COVID-19 Hospitalizations from the COVID-NET Surveillance System,monthly-rates-of-laboratory-confirmed-covid-19-hospitalizations-from-the-covid-net-surveil,d76c7561-286d-4aae-b1c5-40f452f12645,2026-02-27T14:15:16.477241,other-license-specified,U.S. Department of Health & Human Services,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/monthly-rates-of-laboratory-confirmed-covid-19-hospitalizations-from-the-covid-net-surveil
7,data.gov,Air Quality,air-quality,29aa21ae-b135-4227-9db6-6dd283715900,2026-02-15T00:43:59.373079,notspecified,City of New York,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/air-quality
7,data.gov,Electric Vehicle Population Data,electric-vehicle-population-data,844dbad1-ee1e-44b8-9799-34cb7ed24640,2026-02-15T00:05:06.517456,other-license-specified,State of Washington,4,"CSV,JSON,RDF,XML",https://catalog.data.gov/dataset/electric-vehicle-population-data
